LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.7618086915939695,-38.53792160644706,0,13,5
-3.795420897565618,-38.49132251053728,4,8,4
-3.735213361887581,-38.59329644323766,5,10,0
-3.789939259598818,-38.59915684098469,1,14,2
-3.7754079263581,-38.57095112318925,2,8,2
-3.7754079263581,-38.57095112318925,3,8,2
-3.790548927987839,-38.47104556900332,0,10,5
-3.741573098237117,-38.518532518476455,4,11,5
-3.775552556240066,-38.59240662586211,1,14,1
-3.709203240177071,-38.56773822996244,4,14,0
-3.832297004969392,-38.56242015011829,2,12,2
-3.721578181313122,-38.58821740077834,6,12,0
-3.722591654494445,-38.55321120656187,1,11,0
-3.722591654494445,-38.55321120656187,4,12,0
-3.785437712540664,-38.49558895232068,3,10,5
-3.836271991416647,-38.52564931134775,6,11,4
-3.750676696096569,-38.558752188571134,0,10,0
-3.833164764039072,-38.52234011191268,1,12,4
-3.793226772943762,-38.53523578477654,5,9,2
-3.833164764039072,-38.52234011191268,5,9,4
-3.7986531160682406,-38.51106005730268,3,9,4
-3.7688541814743743,-38.5587837615101,0,9,2
-3.806650493059269,-38.56694631413739,2,16,2
-3.714913838112418,-38.59343146847508,5,14,0
-3.7910605990304536,-38.47269341319496,5,11,5
-3.7348729142069264,-38.5547595412865,0,16,0
-3.7953441435662487,-38.58882018596507,2,12,2
-3.834835620179058,-38.51860265107045,2,8,4
-3.820373542397149,-38.47506657446826,4,8,4
-3.870356570308958,-38.58307740290355,1,10,3
-3.770941684793013,-38.65296302986595,3,15,1
-3.823951253585636,-38.568510278497,4,8,2
-3.855762751486425,-38.497794816385735,0,7,4
-3.81169863519872,-38.52551781944408,0,7,4
-3.731334223514384,-38.572526596218495,1,14,0
-3.844305747552355,-38.5258094861966,4,11,4
-3.844305747552355,-38.5258094861966,3,17,4
-3.844305747552355,-38.5258094861966,6,11,4
-3.758284450740761,-38.62301969504006,5,13,1
-3.7385502657426906,-38.52097826053383,4,8,5
-3.751955038251813,-38.541637969480064,4,17,0
-3.790639008982284,-38.471037276597535,0,7,5
-3.7597664311797714,-38.63521490006998,6,11,1
-3.7597664311797714,-38.63521490006998,6,8,1
-3.746464538113316,-38.548319896415926,0,13,0
-3.773818979367866,-38.61983159533059,4,11,1
-3.7374758993471273,-38.6509099840537,3,10,1
-3.866745996218073,-38.50364973550624,0,15,4
-3.7687730813313016,-38.5826177191768,4,10,2
-3.7214492430252126,-38.47377107549726,2,14,5
-3.836408882255195,-38.525780457077815,3,15,4
-3.836408882255195,-38.525780457077815,2,17,4
-3.833170066020033,-38.522151050175424,4,8,4
-3.833170066020033,-38.522151050175424,5,15,4
-3.833170066020033,-38.522151050175424,0,12,4
-3.72720894068188,-38.5964371297277,1,21,0
-3.8472968411844346,-38.52051905189423,0,9,4
-3.780117698442373,-38.61890063458419,1,15,1
-3.707202788465069,-38.577857675605166,0,13,0
